type,properties/PCODE,properties/PNAME,properties/DCODE,properties/DNAME,properties/CCODE,properties/CNAME,properties/VCODE,properties/VNAME,properties/ODCODE,properties/ODNAME,properties/FACILITCOD,properties/FACILITNAM,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/PNAME_km,properties/VNAME_km,properties/FACILITNAM_km
Feature,1,Banteay Meanchey,102,Mongkol Borei,10209.0,Ruessei Kraok,1020914.0,Kaoh Kaev,101,Mongkol Borei,10001,Provincial Hospital,Point,286126.9356504457,1498168.5289965423,,,
Feature,1,Banteay Meanchey,104,Preah Netr Preah,10402.0,Chob Veari,1040201.0,Chob,103,Preah Net Preah,10301,Preah Net Preah,Point,302911.94088462915,1507013.5094301752,,,
Feature,1,Banteay Meanchey,107,Thma Puok,10704.0,Thma Puok,1070404.0,Kasen,104,Thmar Puok,10401,Thmar Puok,Point,289388.98161259899,1542389.5105057277,,,
Feature,2,Battambang,202,Thma Koul,20201.0,Ta Pung,2020102.0,Paoy Yong,201,Thmar Koul,20101,Thmar Koul,Point,293359.90022483375,1465951.5259328121,,,
Feature,3,Kampong Cham,309,Krouch Chhmar,30905.0,Krouch Chhmar,3090503.0,Krouch Chhmar Leu,304,Kroch Chhmar - Stueng Trang,30401,Kroch Chhmar,Point,567301.9308705217,1359213.4013027402,,,
Feature,3,Kampong Cham,310,Memot,31008.0,Memot,3100810.0,Tboung Voat,305,Memut,30501,Memut,Point,628525.99830448721,1308056.3993519321,,,
Feature,3,Kampong Cham,311,Ou Reang Ov,31101.0,Ampil Ta Pok,3110117.0,Lekh Buon Kaeut,306,O Reang Ov - Kaoh Soutin,30601,O Reang Ov,Point,554819.94050793082,1304162.359198655,,,
Feature,3,Kampong Cham,312,Ponhea Kraek,31205.0,Kaong Kang,3120502.0,Ta Hiev Leu,307,Ponhea Krek - Dambae,30701,Ponhea Krek,Point,595115.97358757153,1304511.3760374843,,,
Feature,3,Kampong Cham,313,Prey Chhor,31303.0,Chrey Vien,3130317.0,Prey Totueng,308,Prey Chhor - Kang Meas,30801,Prey Chhor,Point,527749.91365501238,1333008.3750811361,,,
Feature,3,Kampong Cham,314,Srei Santhor,31409.0,Preaek Pou,3140901.0,Roka Tvear,309,Srei Santhor - Kang Meas,30901,Sraei Santhor,Point,512377.90493789274,1307503.3541202703,,,
Feature,6,Kampong Thom,603,Stueng Saen,60302.0,Kampong Thum,6030207.0,Phum Ti Prampir,602,Kampong Thom,60201,Provincial Hospital,Point,487271.89104186621,1405225.4088703543,,,
Feature,2,Battambang,203,Bat Dambang,20310.0,Svay Pao,2031001.0,Preaek Moha Tep,204,Bat Dambang,20401,Provincial Hospital,Point,304895.88341347082,1449717.5143088948,,,
Feature,2,Battambang,206,Moung Ruessei,20601.0,Moung Ruessei,2060110.0,Moung,202,Mong Russei,20201,Mong Russei,Point,331598.85205050593,1412531.484318288,,,
Feature,3,Kampong Cham,316,Tboung Khmum,31619.0,Suong,3161907.0,Suong Kaeut,310,Tbong Khmum - Kroch Chhmar,31001,Tbong Khmum,Point,572090.95016984316,1315996.3747428956,,,
Feature,6,Kampong Thom,601,Baray,60102.0,Ballangk,6010212.0,Trapeang Svay,601,Baray and Santuk,60101,Baray and Santuk,Point,513215.90045444429,1380364.3998788439,,,
Feature,6,Kampong Thom,608,Stoung,60805.0,Kampong Chen Tboung,6080503.0,Kampong Kdei,603,Stong,60301,Stong,Point,453452.8871694064,1430663.4199190917,,,
Feature,10,Kratie,1001,Chhloung,100101.0,Chhloung,10010102.0,Chrouy Thma Kraom,1001,Chhlong,100101,Chhlong,Point,604839.9528371573,1355244.4164696238,,,
Feature,10,Kratie,1002,Kracheh,100209.0,Kracheh,10020902.0,Kracheh,1002,Kratie,100201,Provincial Hospital,Point,611049.94189702068,1379452.4318923608,,,
Feature,24,Pailin,2401,Pailin,240101.0,Sangkat Pailin,24010106.0,Voat,2401,Pailin Ville,240101,Pailin Town,Point,240640.84474162836,1422234.5875418996,,,
Feature,18,Sihanoukville,1801,Mittakpheap,180104.0,Sangkat Buon,18010404.0,Phum Buon,1801,Sihanouk Ville,180101,Town Hospital,Point,339035.64341606054,1173551.2667861965,,,
Feature,11,Mondul Kiri,1105,Saen Monourom,110503.0,Spean Mean Chey,11050301.0,Ou Spean,1101,Sen Monorom,110101,Sen Monorom,Point,737795.99324540398,1377683.5485836654,,,
Feature,22,Oddar Meanchey,2204,Samraong,220404.0,Samraong,22040404.0,Chhuk,2201,Samraong,220101,Samraong,Point,340049.98103512672,1569079.4507228741,,,
Feature,13,Preah Vihear,1307,Tbaeng Mean Chey,130701.0,Kampong Pranak,13070104.0,Andoung Pou,1301,Preah Vihear,130101,Provincial Hospital,Point,497534.8955678186,1522555.4078796855,,,
Feature,14,Prey Veng,1402,Kamchay Mear,140203.0,Kranhung,14020302.0,Chour Ti Pir,1401,Kamchay Mear,140101,Kamchay Mear,Point,572566.96470117534,1280232.3437678658,,,
Feature,14,Prey Veng,1407,Peam Ro,140707.0,Preaek Khsay Kha,14070703.0,Phum Bei,1404,Neak Loeung,140401,Neak Loeung,Point,531055.93090112344,1244789.293837578,,,
Feature,14,Prey Veng,1403,Kampong Trabaek,140309.0,Prasat,14030902.0,Chambak,1402,Kampong Trabek,140201,Kampong Trabek,Point,558569.96681517037,1232397.2858476429,,,
Feature,14,Prey Veng,1405,Me Sang,140503.0,Chi Phoch,14050313.0,Veang,1403,Mesang,140301,Mesang,Point,559687.96161685511,1252149.3095859538,,,
Feature,14,Prey Veng,1411,Kampong Leav,141103.0,Kampong Leav,14110303.0,Lekh Bei,1407,Prey Veng,140701,Provincial Hospital,Point,535422.93111810426,1269490.3218803925,,,
Feature,14,Prey Veng,1408,Pea Reang,140811.0,Roka,14081101.0,Snay Pol,1405,Peareang,140501,Peareang,Point,524839.91755619284,1289490.3396696637,,,
Feature,2,Battambang,210,Sampov Lun,21003.0,Ta Sda,2100302.0,Ta Sda,203,Sampov Luon,20301,Sampov Luon,Point,216012.93448038743,1486144.6199510735,,,
Feature,14,Prey Veng,1409,Preah Sdach,140901.0,Angkor Reach,14090117.0,Krasang Tong,1406,Preah Sdach,140601,Preah Sdach,Point,542001.94798784249,1226050.2731661429,,,
Feature,15,Pursat,1505,Sampov Meas,150504.0,Phteah Prey,15050402.0,Peal Nheaek Pir,1502,Sampov Meas,150201,Provincial Hospital,Point,382626.84892072011,1387066.4382800956,,,
Feature,15,Pursat,1501,Bakan,150102.0,Boeng Khnar,15010202.0,Boeng Khnar,1501,Bakan,150101,Bakan,Point,361258.84829600679,1397422.4563009646,,,
Feature,23,Kep,2301,Damnak Chang'aeur,230101.0,Angkaol,23010101.0,Ampeng,2301,Kep Ville,230101,Kep Town,Point,425250.7715032245,1158852.1852746999,,,
Feature,20,Svay Rieng,2001,Chantrea,200107.0,Prey Angkunh,20010701.0,Kouk Lvieng,2001,Chi Phu,200101,Chi Phu,Point,610239.03727563145,1220314.2950772825,,,
Feature,17,Siemreap,1706,Kralanh,170602.0,Kampong Thkov,17060202.0,Kampong Thkov Pir,1701,Kralanh,170101,Kralanh,Point,328726.9308970886,1502914.4865370919,,,
Feature,17,Siemreap,1710,Siem Reab,171002.0,Svay Dangkum,17100212.0,Mondol Muoy,1702,Siem Reap,170201,Provincial Hospital,Point,376067.90409173258,1476770.4554279416,,,
Feature,7,Kampot,701,Angkor Chey,70108.0,Phnum Kong,7010808.0,Phnum Trael,701,Angkor Chey,70101,Angkor Chey,Point,462838.84030554449,1190917.2235675107,,,
Feature,17,Siemreap,1711,Soutr Nikom,171102.0,Dam Daek,17110212.0,Dam Daek Phsar,1703,Sotr Nikum,170301,Sotr Nikum,Point,404757.89585804805,1464499.4400733316,,,
Feature,20,Svay Rieng,2004,Romeas Haek,200408.0,Kampong Trach,20040809.0,Ta Trav,2002,Romeas Hek,200201,Romeas Hek,Point,586842.98712327203,1261889.3313732431,,,
Feature,21,Takeo,2102,Bati,210201.0,Chambak,21020102.0,Bacham,2102,Bati,210201,Bati,Point,479742.87107797881,1243360.2904952585,,,
Feature,19,Stung Treng,1904,Stueng Traeng,190401.0,Stueng Traeng,19040101.0,Preaek,1901,Steung Treng,190101,Provincial Hospital,Point,604930.87607014319,1495976.4422674538,,,
Feature,7,Kampot,703,Chhuk,70304.0,Chhuk,7030402.0,Chheu Teal,702,Chhouk,70201,Chhouk,Point,440607.81012091698,1198135.2400916645,,,
Feature,16,Ratanak Kiri,1602,Ban Lung,160202.0,Labansiek,16020206.0,Phum Prammuoy,1601,Rattanakiri,160101,Provincial Hospital,Point,714257.82603595022,1521122.523672807,,,
Feature,20,Svay Rieng,2006,Svay Rieng,200601.0,Svay Rieng,20060105.0,Srah Vong,2003,Svay Rieng,200301,Provincial Hospital,Point,587655.00569195382,1225598.2892814237,,,
Feature,21,Takeo,2104,Kiri Vong,210402.0,Preah Bat Choan Chum,21040202.0,Kampong,2104,Kirivong,210401,Kirivong,Point,485908.87303702586,1177001.1991618716,,,
Feature,21,Takeo,2106,Prey Kabbas,210610.0,Prey Lvea,21061002.0,Prey Lvea Lech,2105,Prey Kabass,210501,Prey Kabass,Point,495202.88894461491,1233940.2780843161,,,
Feature,21,Takeo,2108,Doun Kaev,210802.0,Roka Knong,21080210.0,Phum Pir,2103,Daun Keo,210301,Provincial Hospital,Point,476262.86320097942,1214778.2548924617,,,
Feature,7,Kampot,706,Kampong Trach,70605.0,Kampong Trach Khang Kaeut,7060501.0,Kampong Trach Ti  Muoy,703,Kampong Trach,70301,Kampong Trach,Point,441966.80197577126,1167593.1932205278,,,
Feature,21,Takeo,2109,Tram Kak,210914.0,Trapeang Thum Khang Cheung,21091406.0,Prey Ta Lei,2101,Ang Rokar,210101,Ang Rokar,Point,455093.83630470408,1219967.2658044414,,,
Feature,5,Kampong Speu,502,Chbar Mon,50203.0,Roka Thum,5020307.0,Angk Serei,501,Kampong Speu.,50101,Provincial Hospital,Point,450215.84332124621,1268217.32374067,,,
Feature,5,Kampong Speu,503,Kong Pisei,50306.0,Prey Nheat,5030610.0,Svay Char,502,Kong Pisey,50201,Kong Pisey,Point,459212.8481416697,1248355.2997553733,,,
Feature,5,Kampong Speu,505,Odongk,50511.0,Veang Chas,5051109.0,Krang Ponley,503,OuDaung,50301,OuDaung,Point,471636.87153414893,1307144.3555028629,,,
Feature,12,Phnom Penh,1203,Prampir Makaka,120307.0,Veal Vong,12030704.0,Phum 4,1202,Kandal,120201,Municipal Hospita,Point,490345.8853929835,1278691.3278565577,,,
Feature,7,Kampot,708,Kampong Bay,70803.0,Kampong Bay,7080302.0,Kampong Bay Khang Tboung,704,Kampot,70401,Provincial Hospital,Point,410133.75390714838,1173078.2153133652,,,
Feature,8,Kandal,802,Kien Svay,80206.0,Kokir,8020601.0,Tuol Tnaot,802,Kean Svay,80201,Kean Svay,Point,505654.90052944643,1272380.3214055211,,,
Feature,8,Kandal,803,Khsach Kandal,80310.0,Preaek Ta Meak,8031004.0,Preaek Ta Meak,804,Ksach Kandal,80401,Ksach Kandal,Point,500979.89566393301,1298887.3463678483,,,
Feature,8,Kandal,804,Kaoh Thum,80411.0,Preaek Thmei,8041108.0,Preaek Thmei,803,Kaoh Thom,80301,Kaoh Thum,Point,506266.90261247923,1230284.2736091919,,,
Feature,8,Kandal,810,S'ang,81008.0,Preaek Koy,8100802.0,Preaek Run,807,Saang,80701,Saang,Point,500916.89582832105,1255491.3033124667,,,
Feature,8,Kandal,811,Ta Khmau,81102.0,Preaek Ruessei,8110201.0,Krapeu Ha,808,Takhmau,80801,Chey Chunneah,Point,493858.88849768619,1269085.3180076696,,,
Feature,9,Koh Kong,904,Smach Mean Chey,90401.0,Smach Mean Chey,9040101.0,Phum Ti Muoy,901,Smach Mean Chey,90101,Kaoh Kong,Point,280090.6893597492,1284664.4656080704,,,
Feature,9,Koh Kong,906,Srae Ambel,90601.0,Boeng Preav,9060107.0,Tuek Paong,902,Sre Ambel,90201,Srae Ambel,Point,367788.72781006282,1226680.317587187,,,
Feature,4,Kampong Chhnang,403,Kampong Chhnang,40302.0,Kampong Chhnang,4030204.0,Kandal,401,Kampong Chhnang.,40101,Kampong Chhnang,Point,463989.8744119397,1354294.3897077057,,,
Feature,4,Kampong Chhnang,405,Kampong Tralach,40507.0,Peani,4050701.0,Ka At,402,Kampong Tralach,40201,Kampong Tralach,Point,468714.87126477232,1319688.3659026022,,,
Feature,3,Kampong Cham,303,Cheung Prey,30308.0,Soutip,3030802.0,Skon,302,Choeung Prey - Batheay,30201,Choeung Prey,Point,507889.90019349538,1332685.3729070059,,,
Feature,3,Kampong Cham,305,Kampong Cham,30502.0,Kampong Cham,3050201.0,Phum Ti Prampir,303,Kampong Cham - Kampong.Siem,30301,Provincial Hospital,Point,550196.93076599319,1325844.3748109061,,,
Feature,3,Kampong Cham,302,Chamkar Leu,30206.0,Svay Teab,3020612.0,Thnal Baek Kaeut,301,Chamkar Leu - Stueng Trang,30101,Chamkar Leu,Point,530440.9108879948,1361131.3926393187,,,
Feature,17,Siemreap,1701,Angkor Chum,170101.0,Char Chhuk,17010106.0,Kbal Cham,1704,Angkor Chum,170401,Angkor Chum,Point,362111.91201208433,1486415.4635901409,,,
Feature,1,Banteay Meanchey,105,Ou Chrov,10508.0,Paoy Paet,1050808.0,Prachea Thorm,102,Ou Chrov,10201,Ou Chrov,Point,239015.96485315863,1512305.5814123994,,,
Feature,1,Banteay Meanchey,106,Serei Saophoan,10607.0,Preah Ponlea,1060702.0,Phum Muoy,101,Mongkol Borei,10101,Serei Saophoan,Point,280820.94240875565,1503236.5335600227,,,
Feature,22,Oddar Meanchey,2201,Anglong Vaeng,220101.0,Anlong Vaeng,22010102.0,Ou Chechien,2201,Samraong,220109,Anlong Vaeng,Point,400876.95026094955,1573927.4094535045,,,
Feature,12,Phnom Penh,1201,Chamkar Mon,120101.0,Tonle Basak,12010105.0,Phum 5,1202,Kandal,120202,Chamkar Mon,Point,492263.88720299519,1277221.3263173806,,,
Feature,12,Phnom Penh,1205,Dangkao,120506.0,Kakab,12050607.0,Ta Nguon,1203,Lech,120307,Pochentong,Point,483468.87861107814,1277960.3276154418,,,
Feature,12,Phnom Penh,1206,Mean Chey,120604.0,Chbar Ampov Muoy,12060402.0,Daeum Makkloea,1204,Tbong,120402,Mean Chey,Point,493158.88798591535,1274617.3236822211,,,
Feature,3,Kampong Cham,301,Batheay,30101.0,Batheay,3010102.0,Batheay,302,Choeung Prey,30213,Batheay,Point,493592.8901789129,1324953.3673372737,,,
Feature,12,Phnom Penh,1207,'Ruessei Kaev,120704.0,Kiloumetr Lekh Prammuoy,12070402.0,Spean Khpos,1201,Cheung,120102,Samdach Ov,Point,490457.88580625539,1284490.3334617456,,,
